Transaction ID,Data
1,tuna
1,prosciutto
1,olives
1,ham
1,turkey
1,sarsaparilla
1,gelato
2,risotto
2,soda
2,tuna
2,crackers
2,peroni
2,olives
2,prosciutto
3,avocado
3,crackers
3,hummus
3,peroni
3,ham
3,turkey
3,pretzels
4,olives
4,sarsaparilla
4,coke
4,turkey
4,gelato
4,ham
4,peppers
5,tuna
5,prosciutto
5,apples
5,olives
5,steak
5,avocado
5,turkey
6,pretzels
6,peroni
6,chicken
6,coke
6,gelato
6,peppers
6,ham
7,olives
7,sarsaparilla
7,coke
7,turkey
7,gelato
7,peroni
7,apples
8,prosciutto
8,peppers
8,sarsaparilla
8,crackers
8,chicken
8,gelato
8,risotto
9,soda
9,olives
9,sarsaparilla
9,crackers
9,peroni
9,peppers
9,risotto
10,prosciutto
10,peppers
10,sarsaparilla
10,crackers
10,chicken
10,moscato
10,tuna
11,risotto
11,pretzels
11,apples
11,peppers
11,avocado
11,steak
11,turkey
12,risotto
12,tuna
12,avocado
12,hummus
12,peroni
12,apples
12,prosciutto
13,tuna
13,prosciutto
13,apples
13,olives
13,steak
13,pretzels
13,peroni
14,risotto
14,pretzels
14,apples
14,peppers
14,avocado
14,steak
14,gelato
15,tuna
15,prosciutto
15,olives
15,ham
15,turkey
15,coke
15,apples
16,olives
16,sarsaparilla
16,coke
16,turkey
16,gelato
16,hummus
16,ham
17,risotto
17,tuna
17,avocado
17,hummus
17,peroni
17,coke
17,turkey
18,pretzels
18,peroni
18,chicken
18,coke
18,gelato
18,prosciutto
18,apples
19,soda
19,olives
19,sarsaparilla
19,crackers
19,peroni
19,risotto
19,peppers
20,soda
20,olives
20,sarsaparilla
20,crackers
20,peroni
20,steak
20,tuna
21,tuna
21,prosciutto
21,olives
21,ham
21,turkey
21,apples
21,risotto
22,risotto
22,tuna
22,avocado
22,hummus
22,peroni
22,sarsaparilla
22,prosciutto
23,soda
23,olives
23,sarsaparilla
23,crackers
23,peroni
23,hummus
23,steak
24,soda
24,olives
24,sarsaparilla
24,crackers
24,peroni
24,prosciutto
24,tuna
25,pretzels
25,peroni
25,chicken
25,coke
25,gelato
25,apples
25,risotto
26,pretzels
26,peroni
26,chicken
26,coke
26,gelato
26,prosciutto
26,peppers
27,olives
27,sarsaparilla
27,coke
27,turkey
27,gelato
27,apples
27,risotto
28,olives
28,sarsaparilla
28,coke
28,turkey
28,gelato
28,soda
28,avocado
29,soda
29,olives
29,sarsaparilla
29,crackers
29,peroni
29,hummus
29,peppers
30,olives
30,sarsaparilla
30,coke
30,turkey
30,gelato
30,pretzels
30,soda
31,olives
31,sarsaparilla
31,coke
31,turkey
31,gelato
31,soda
31,ham
32,prosciutto
32,peppers
32,sarsaparilla
32,crackers
32,chicken
32,tuna
32,coke
33,risotto
33,pretzels
33,apples
33,peppers
33,avocado
33,prosciutto
33,chicken
34,soda
34,olives
34,sarsaparilla
34,crackers
34,peroni
34,moscato
34,ham
35,risotto
35,tuna
35,avocado
35,hummus
35,peroni
35,moscato
35,soda
36,tuna
36,prosciutto
36,olives
36,ham
36,turkey
36,crackers
36,risotto
37,avocado
37,crackers
37,hummus
37,peroni
37,ham
37,prosciutto
37,pretzels
38,soda
38,olives
38,sarsaparilla
38,crackers
38,peroni
38,apples
38,steak
39,risotto
39,tuna
39,avocado
39,hummus
39,peroni
39,soda
39,ham
40,pretzels
40,peroni
40,chicken
40,coke
40,gelato
40,hummus
40,steak
41,soda
41,olives
41,sarsaparilla
41,crackers
41,peroni
41,hummus
41,coke
42,tuna
42,prosciutto
42,apples
42,olives
42,steak
42,risotto
42,chicken
43,pretzels
43,peroni
43,chicken
43,coke
43,gelato
43,crackers
43,steak
44,soda
44,olives
44,sarsaparilla
44,crackers
44,peroni
44,steak
44,tuna
45,tuna
45,prosciutto
45,olives
45,ham
45,turkey
45,sarsaparilla
45,peroni
46,prosciutto
46,peppers
46,sarsaparilla
46,crackers
46,chicken
46,gelato
46,gelato
47,risotto
47,pretzels
47,apples
47,peppers
47,avocado
47,chicken
47,steak
48,risotto
48,soda
48,tuna
48,crackers
48,peroni
48,pretzels
48,hummus
49,prosciutto
49,peppers
49,sarsaparilla
49,crackers
49,chicken
49,turkey
49,gelato
50,avocado
50,crackers
50,hummus
50,peroni
50,ham
50,pretzels
50,tuna
51,soda
51,olives
51,sarsaparilla
51,crackers
51,peroni
51,moscato
51,avocado
52,risotto
52,pretzels
52,apples
52,peppers
52,avocado
52,turkey
52,gelato
53,risotto
53,soda
53,tuna
53,crackers
53,peroni
53,olives
53,avocado
54,risotto
54,tuna
54,avocado
54,hummus
54,peroni
54,prosciutto
54,chicken
55,tuna
55,prosciutto
55,olives
55,ham
55,turkey
55,avocado
55,risotto
56,risotto
56,soda
56,tuna
56,crackers
56,peroni
56,prosciutto
56,ham
57,pretzels
57,peroni
57,chicken
57,coke
57,gelato
57,olives
57,prosciutto
58,risotto
58,soda
58,tuna
58,crackers
58,peroni
58,avocado
58,avocado
59,soda
59,olives
59,sarsaparilla
59,crackers
59,peroni
59,ham
59,peppers
60,prosciutto
60,peppers
60,sarsaparilla
60,crackers
60,chicken
60,steak
60,apples
61,risotto
61,soda
61,tuna
61,crackers
61,peroni
61,hummus
61,chicken
62,avocado
62,crackers
62,hummus
62,peroni
62,ham
62,tuna
62,steak
63,tuna
63,prosciutto
63,apples
63,olives
63,steak
63,ham
63,gelato
64,risotto
64,tuna
64,avocado
64,hummus
64,peroni
64,steak
64,turkey
65,risotto
65,pretzels
65,apples
65,peppers
65,avocado
65,moscato
65,crackers
66,risotto
66,soda
66,tuna
66,crackers
66,peroni
66,chicken
66,prosciutto
67,risotto
67,pretzels
67,apples
67,peppers
67,avocado
67,crackers
67,sarsaparilla
68,tuna
68,prosciutto
68,apples
68,olives
68,steak
68,coke
68,soda
69,olives
69,sarsaparilla
69,coke
69,turkey
69,gelato
69,pretzels
69,avocado
70,prosciutto
70,peppers
70,sarsaparilla
70,crackers
70,chicken
70,soda
70,gelato
71,risotto
71,pretzels
71,apples
71,peppers
71,avocado
71,sarsaparilla
71,sarsaparilla
72,tuna
72,prosciutto
72,olives
72,ham
72,turkey
72,coke
72,apples
73,tuna
73,prosciutto
73,apples
73,olives
73,steak
73,soda
73,avocado
74,risotto
74,pretzels
74,apples
74,peppers
74,avocado
74,turkey
74,soda
75,pretzels
75,peroni
75,chicken
75,coke
75,gelato
75,avocado
75,risotto
76,prosciutto
76,peppers
76,sarsaparilla
76,crackers
76,chicken
76,apples
76,coke
77,tuna
77,prosciutto
77,olives
77,ham
77,turkey
77,peppers
77,crackers
78,olives
78,sarsaparilla
78,coke
78,turkey
78,gelato
78,crackers
78,prosciutto
79,risotto
79,tuna
79,avocado
79,hummus
79,peroni
79,ham
79,apples
80,prosciutto
80,peppers
80,sarsaparilla
80,crackers
80,chicken
80,steak
80,turkey
81,avocado
81,crackers
81,hummus
81,peroni
81,ham
81,soda
81,steak
82,avocado
82,crackers
82,hummus
82,peroni
82,ham
82,prosciutto
82,risotto
83,prosciutto
83,peppers
83,sarsaparilla
83,crackers
83,chicken
83,tuna
83,apples
84,tuna
84,prosciutto
84,apples
84,olives
84,steak
84,coke
84,ham
85,avocado
85,crackers
85,hummus
85,peroni
85,ham
85,tuna
85,soda
86,tuna
86,prosciutto
86,apples
86,olives
86,steak
86,risotto
86,turkey
87,tuna
87,prosciutto
87,olives
87,ham
87,turkey
87,chicken
87,coke
88,tuna
88,prosciutto
88,apples
88,olives
88,steak
88,coke
88,hummus
89,tuna
89,prosciutto
89,olives
89,ham
89,turkey
89,apples
89,gelato
90,avocado
90,crackers
90,hummus
90,peroni
90,ham
90,steak
90,olives
91,risotto
91,soda
91,tuna
91,crackers
91,peroni
91,peppers
91,prosciutto
92,risotto
92,tuna
92,avocado
92,hummus
92,peroni
92,moscato
92,prosciutto
93,risotto
93,soda
93,tuna
93,crackers
93,peroni
93,gelato
93,chicken
94,soda
94,olives
94,sarsaparilla
94,crackers
94,peroni
94,apples
94,prosciutto
95,prosciutto
95,peppers
95,sarsaparilla
95,crackers
95,chicken
95,apples
95,coke
96,tuna
96,prosciutto
96,olives
96,ham
96,turkey
96,gelato
96,hummus
97,pretzels
97,peroni
97,chicken
97,coke
97,gelato
97,prosciutto
97,prosciutto
98,olives
98,sarsaparilla
98,coke
98,turkey
98,gelato
98,peroni
98,soda
99,soda
99,olives
99,sarsaparilla
99,crackers
99,peroni
99,steak
99,pretzels
100,tuna
100,prosciutto
100,apples
100,olives
100,steak
100,peppers
100,risotto
101,risotto
101,pretzels
101,apples
101,peppers
101,avocado
